//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Classification
440492.49000122,4464182.25999634,8.10000038,92,255,0,2.000000,9.000000,373109.625000,1.000000
440493.61999084,4464178.59999268,8.35999966,103,255,0,2.000000,7.000000,373110.343750,1.000000
440494.08999207,4464183.77998535,7.88000011,83,255,0,2.000000,7.000000,373110.437500,1.000000
440493.85999634,4464183.17000000,8.05000019,90,255,0,2.000000,5.000000,373110.937500,1.000000
440490.28998901,4464175.90999023,8.60999966,114,255,0,2.000000,14.000000,373111.843750,1.000000
440493.35999634,4464183.37001221,8.60999966,114,255,0,2.000000,28.000000,373112.750000,1.000000
440494.52999451,4464183.83000366,7.82999992,80,255,0,2.000000,10.000000,373113.437500,1.000000
440493.10000183,4464183.33000366,8.59000015,113,255,0,2.000000,24.000000,373113.656250,1.000000
440494.47999146,4464184.21000854,7.96000004,85,255,0,2.000000,24.000000,373113.937500,1.000000
440494.13000061,4464183.21000854,8.60999966,114,255,0,2.000000,22.000000,373114.343750,1.000000
440491.49999573,4464176.12999146,8.81999969,123,255,0,3.000000,29.000000,373165.781250,1.000000
440491.38000061,4464176.42000000,8.78999996,121,255,0,3.000000,14.000000,373169.062500,1.000000
440491.02999451,4464176.12999146,8.77000046,121,255,0,3.000000,14.000000,373169.187500,1.000000
440490.86999084,4464175.19999878,8.09000015,91,255,0,3.000000,30.000000,373169.281250,1.000000
440490.21999695,4464175.99998657,8.86999989,125,255,0,3.000000,14.000000,373169.375000,1.000000
440490.45998718,4464176.36000244,8.61999989,114,255,0,3.000000,12.000000,373169.781250,1.000000
440493.58999207,4464182.17000000,8.22000027,97,255,0,3.000000,8.000000,373170.375000,1.000000
440491.28998901,4464175.90999023,8.72999954,119,255,0,3.000000,8.000000,373170.781250,1.000000
440494.05999329,4464181.58000366,8.14999962,94,255,0,3.000000,6.000000,373170.781250,1.000000
440491.40999939,4464175.90999023,8.88000011,125,255,0,3.000000,4.000000,373171.781250,1.000000
440494.02000000,4464181.46000854,8.09000015,91,255,0,3.000000,0.000000,373172.468750,1.000000
440490.33999207,4464177.61000244,8.71000004,118,255,0,3.000000,16.000000,373172.968750,1.000000
440496.63999512,4464184.06001465,8.35000038,103,255,0,2.000000,9.000000,373110.343750,1.000000
440500.10999634,4464184.09001343,7.78000021,78,255,0,3.000000,24.000000,373168.875000,1.000000
440494.78998901,4464173.93000977,6.48000002,23,255,0,3.000000,16.000000,373172.375000,1.000000
440497.90999939,4464184.31999390,7.32000017,59,255,0,2.000000,29.000000,373109.625000,1.000000
440497.91999390,4464173.03999512,7.88000011,83,255,0,3.000000,25.000000,373165.687500,1.000000
440497.31998779,4464177.42000000,7.90999985,84,255,0,2.000000,21.000000,373111.625000,1.000000
440496.58999207,4464183.37999146,8.86999989,125,255,0,2.000000,18.000000,373115.750000,1.000000
440495.77000000,4464173.43000977,6.46999979,22,255,0,3.000000,15.000000,373164.562500,1.000000
440495.85999634,4464173.62999146,6.53999996,25,255,0,3.000000,11.000000,373165.562500,1.000000
440495.15999939,4464173.99998657,7.65000010,73,255,0,3.000000,8.000000,373169.968750,1.000000
440498.75999023,4464181.49000732,7.86000013,82,255,0,2.000000,13.000000,373109.937500,1.000000
440497.74999573,4464182.27000610,7.51999998,67,255,0,2.000000,11.000000,373110.125000,1.000000
440497.40999939,4464181.08000366,7.80999994,80,255,0,2.000000,17.000000,373112.531250,1.000000
440498.81998779,4464184.19999878,7.82000017,80,255,0,2.000000,1.000000,373112.843750,1.000000
440498.29999878,4464182.55000488,7.34000015,59,255,0,2.000000,30.000000,373113.250000,1.000000
440498.99999573,4464184.08000366,7.84999990,81,255,0,2.000000,30.000000,373113.343750,1.000000
440498.02000000,4464182.53999512,7.73000002,76,255,0,2.000000,12.000000,373113.656250,1.000000
440497.83999207,4464182.40999023,7.61000013,71,255,0,2.000000,24.000000,373114.531250,1.000000
440500.11999084,4464184.05000488,7.78999996,79,255,0,3.000000,28.000000,373167.968750,1.000000
440495.88000061,4464173.31999390,8.05000019,90,255,0,3.000000,29.000000,373165.187500,1.000000
440495.18999817,4464174.28999512,7.69999981,75,255,0,3.000000,29.000000,373165.281250,1.000000
440495.07999756,4464174.37999146,7.73999977,77,255,0,3.000000,11.000000,373165.687500,1.000000
440496.07999756,4464173.27000610,8.17000008,95,255,0,3.000000,5.000000,373166.781250,1.000000
440496.03998901,4464173.19999878,8.14999962,94,255,0,3.000000,19.000000,373167.281250,1.000000
440498.07999756,4464173.03999512,8.18000031,95,255,0,3.000000,14.000000,373167.968750,1.000000
